,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,datetime
5963,7339,Female,Loyal Customer,35,Business travel,Business,2644,5,3,5,3,1,5,5,5,4,3,5,3,4,4,80,78,11/28/1951
5964,72653,Female,Loyal Customer,-1,Personal Travel,Eco,1119,5,5,3,2,2,3,0,1,5,4,5,4,5,0,32,136,11/29/1951
5965,105216,Male,Loyal Customer,52,Business travel,Eco,377,3,1,3,3,3,2,3,3,3,2,4,2,4,2,0,7,11/30/1951
5966,20424,Female,Loyal Customer,-1,Personal Travel,Eco,299,2,5,1,1,5,2,2,5,3,2,4,3,5,5,72,155,12/1/1951
5967,96740,Female,Loyal Customer,-1,Business travel,Business,1606,1,1,1,2,5,4,5,5,3,4,3,3,4,5,91,15,12/2/1951
5968,83029,Male,disloyal Customer,-1,Business travel,Business,957,3,0,3,3,4,5,5,3,3,3,5,5,4,3,72,83,12/3/1951
5969,22526,Male,disloyal Customer,-1,Business travel,Eco Plus,143,4,4,2,5,5,2,3,5,1,5,1,2,3,5,0,0,12/4/1951
5970,16170,Female,Loyal Customer,51,Business travel,Business,277,2,3,2,4,4,4,1,3,4,3,4,3,4,4,24,-2,12/5/1951
5971,127097,Male,Loyal Customer,59,Business travel,Eco,221,3,3,2,2,4,4,2,3,4,3,2,1,3,2,30,0,12/6/1951
5972,15279,Female,Loyal Customer,66,Personal Travel,Eco,460,3,5,2,2,0,2,4,2,3,3,5,1,4,1,-3,26,12/7/1951
5973,49612,Male,Loyal Customer,37,Business travel,Business,110,5,4,3,3,5,2,3,5,5,5,3,5,4,3,1,0,12/8/1951
5974,46364,Male,disloyal Customer,29,Business travel,Business,1081,3,4,3,4,2,5,2,2,3,2,1,4,0,3,79,0,12/9/1951
5975,15150,Male,Loyal Customer,-1,Personal Travel,Eco,1042,5,0,5,4,3,5,2,5,0,1,5,1,3,5,115,171,12/10/1951
5976,70799,Female,Loyal Customer,42,Personal Travel,Eco,328,2,3,2,4,0,5,2,0,2,2,0,5,1,1,-7,1,12/11/1951
5977,30413,Male,Loyal Customer,51,Business travel,Eco Plus,775,3,5,5,5,4,3,2,4,0,5,2,4,4,3,25,30,12/12/1951
5978,65986,Male,Loyal Customer,10,Personal Travel,Eco,1372,5,3,5,3,2,3,2,2,3,4,4,4,5,2,0,31,12/13/1951
5979,26722,Male,Loyal Customer,25,Business travel,Eco Plus,406,5,1,2,1,5,5,2,5,2,3,3,1,5,5,95,31,12/14/1951
5980,76676,Female,Loyal Customer,-1,Personal Travel,Eco,100000,2,4,3,2,4,5,4,5,5,2,1,5,5,5,0,45,12/15/1951
5981,6683,Male,Loyal Customer,50,Business travel,Business,3632,3,4,2,3,5,5,5,5,4,5,4,5,3,5,23,20,12/16/1951
5982,114964,Male,Loyal Customer,-1,Business travel,Eco,447,1,3,4,3,1,2,2,1,5,5,5,3,3,2,68,32,12/17/1951
5983,36775,Female,Loyal Customer,-1,Business travel,Business,2611,2,1,2,2,3,3,3,2,3,5,5,3,4,4,235,249,12/18/1951
5984,73339,Female,Loyal Customer,-1,Business travel,Business,3004,5,5,5,5,5,5,3,5,5,5,5,5,5,4,61,38,12/19/1951
5985,49524,Male,Loyal Customer,-1,Business travel,Business,3886,3,2,0,2,2,1,1,4,5,3,4,3,4,4,6,71,12/20/1951
5986,52609,Female,disloyal Customer,-1,Business travel,Eco,160,5,0,5,5,3,5,1,1,0,5,5,4,2,1,98,63,12/21/1951
5987,79345,Female,disloyal Customer,23,Business travel,Eco,620,3,2,2,3,4,3,5,5,1,4,1,1,2,5,24,36,12/22/1951
5988,28163,Male,disloyal Customer,-1,Business travel,Eco,834,1,2,1,4,0,2,3,2,3,4,2,0,2,0,0,7,12/23/1951
5989,77762,Female,disloyal Customer,19,Business travel,Eco,696,4,3,4,1,3,5,2,2,5,3,3,0,3,1,100,84,12/24/1951
5990,57640,Male,Loyal Customer,49,Business travel,Business,2719,2,4,4,5,2,0,1,3,4,5,2,1,3,1,78,51,12/25/1951
5991,31167,Male,Loyal Customer,36,Business travel,Business,516,5,5,5,4,2,2,5,5,5,5,5,5,5,3,19,52,12/26/1951
5992,23831,Female,Loyal Customer,-1,Personal Travel,Eco,1131,3,4,4,0,3,3,3,3,2,3,1,5,2,2,88,14,12/27/1951
5993,92274,Male,Loyal Customer,56,Business travel,Eco,2036,0,3,5,3,0,2,1,0,2,3,1,3,3,0,100,-8,12/28/1951
5994,56052,Male,Loyal Customer,80,Business travel,Business,3263,3,3,3,3,4,5,4,4,3,1,4,0,4,4,0,51,12/29/1951
5995,113600,Female,Loyal Customer,38,Business travel,Business,236,3,2,1,3,4,5,4,5,5,3,5,5,5,4,95,0,12/30/1951
5996,52657,Male,Loyal Customer,48,Personal Travel,Eco,1,3,4,0,4,5,0,5,5,0,2,5,2,5,5,98,22,12/31/1951
5997,39122,Female,Loyal Customer,42,Business travel,Business,3391,3,2,4,2,3,4,3,3,3,5,3,2,3,4,94,93,1/1/1952
5998,85158,Male,Loyal Customer,-1,Business travel,Business,696,5,5,5,5,3,5,5,3,4,1,4,3,5,5,17,11,1/2/1952
5999,87630,Female,disloyal Customer,48,Business travel,Business,606,4,4,3,5,3,4,2,5,5,4,5,3,5,5,92,90,1/3/1952
6000,44147,Female,Loyal Customer,24,Personal Travel,Eco,120,2,3,0,4,3,0,5,4,2,5,3,0,3,5,53,14,1/4/1952
6001,51163,Female,Loyal Customer,35,Personal Travel,Eco,190,2,5,2,1,2,1,5,3,2,5,3,4,5,3,79,31,1/5/1952
6002,124532,Male,Loyal Customer,-1,Business travel,Business,2168,1,1,1,1,5,5,5,5,5,5,5,3,5,3,54,5,1/6/1952
6003,95122,Male,Loyal Customer,50,Personal Travel,Eco,319,1,1,2,3,0,2,0,2,4,4,3,2,3,2,14,42,1/7/1952
6004,6984,Female,Loyal Customer,49,Business travel,Business,299,0,0,0,5,4,5,4,2,1,0,2,5,0,5,60,45,1/8/1952
6005,115982,Male,Loyal Customer,67,Personal Travel,Eco,333,3,5,1,2,5,1,5,5,5,2,5,4,3,5,74,100,1/9/1952
6006,73568,Male,Loyal Customer,54,Business travel,Business,2312,5,5,5,5,4,2,3,1,1,2,4,2,3,3,18,0,1/10/1952
6007,32572,Male,Loyal Customer,-1,Business travel,Eco,101,5,4,4,4,5,5,5,5,4,4,2,1,3,5,-2,48,1/11/1952
6008,24632,Female,Loyal Customer,-1,Personal Travel,Eco,526,2,3,2,2,3,4,5,3,2,0,3,5,3,5,50,133,1/12/1952
6009,106358,Female,disloyal Customer,27,Business travel,Business,100000,3,2,3,2,3,2,2,4,3,1,5,3,5,4,112,63,1/13/1952
6010,128906,Female,Loyal Customer,53,Business travel,Business,2248,5,5,5,5,5,4,5,5,5,5,5,5,5,2,4,60,1/14/1952
6011,15178,Female,disloyal Customer,38,Business travel,Eco,416,2,2,3,3,4,2,4,5,2,5,5,4,4,4,0,-1,1/15/1952
6012,946,Male,Loyal Customer,-1,Business travel,Business,140,4,1,2,1,3,4,4,3,2,2,4,3,2,4,15,80,1/16/1952
6013,114650,Female,Loyal Customer,49,Business travel,Business,337,3,4,2,4,3,5,5,5,5,5,5,5,5,3,29,76,1/17/1952
6014,71719,Female,Loyal Customer,44,Business travel,Business,1990,1,4,4,4,2,3,3,1,1,3,3,0,2,4,105,92,1/18/1952
6015,104318,Female,Loyal Customer,47,Business travel,Eco,409,1,4,4,3,3,4,4,2,4,3,2,5,4,1,100,0,1/19/1952
6016,100272,Male,Loyal Customer,24,Business travel,Business,2639,5,3,5,5,5,5,5,5,3,2,4,5,5,5,0,70,1/20/1952
6017,36697,Female,Loyal Customer,66,Personal Travel,Eco,1185,3,5,3,5,4,5,5,3,3,2,4,5,5,4,93,15,1/21/1952
6018,103279,Female,Loyal Customer,-1,Personal Travel,Eco Plus,888,1,1,1,1,3,3,2,2,1,5,1,3,2,1,-2,0,1/22/1952
6019,31465,Male,Loyal Customer,-1,Business travel,Business,2407,3,5,3,5,5,5,5,5,2,3,5,2,1,5,8,28,1/23/1952
6020,120583,Female,Loyal Customer,29,Business travel,Business,980,3,5,5,4,3,4,3,3,4,3,2,3,5,4,7,0,1/24/1952
6021,127912,Male,Loyal Customer,45,Personal Travel,Eco,1671,1,5,3,5,3,1,4,3,2,5,4,3,2,3,69,30,1/25/1952
6022,1599,Male,Loyal Customer,-1,Personal Travel,Eco,140,3,2,2,3,4,3,3,4,3,5,3,3,4,3,-5,1,1/26/1952
6023,84243,Female,Loyal Customer,16,Personal Travel,Eco Plus,432,2,3,4,2,3,2,5,4,5,5,5,3,5,4,121,83,1/27/1952
6024,31135,Female,Loyal Customer,-1,Business travel,Eco,591,2,3,4,2,1,5,5,5,5,2,5,1,5,2,65,52,1/28/1952
6025,100028,Male,disloyal Customer,-1,Business travel,Business,289,2,1,0,4,5,1,4,5,3,5,5,5,5,5,50,81,1/29/1952
6026,65259,Male,disloyal Customer,23,Business travel,Eco,190,5,4,5,1,5,5,5,5,5,4,5,5,5,5,37,0,1/30/1952
6027,45736,Male,Loyal Customer,-1,Personal Travel,Eco,1463,2,3,4,4,1,4,3,1,2,5,4,2,2,3,122,129,1/31/1952
6028,82987,Female,Loyal Customer,27,Business travel,Business,3388,2,2,2,4,5,3,3,4,2,5,5,4,4,5,64,91,2/1/1952
6029,1877,Female,disloyal Customer,80,Business travel,Business,531,4,4,3,3,5,4,5,2,1,4,2,3,3,3,73,104,2/2/1952
6030,20994,Male,Loyal Customer,48,Business travel,Eco Plus,689,5,5,5,5,5,5,5,5,3,2,3,1,3,5,97,103,2/3/1952
6031,112742,Female,disloyal Customer,22,Business travel,Eco,697,3,4,2,4,0,4,2,2,1,5,4,0,4,2,38,20,2/4/1952
6032,104836,Female,Loyal Customer,44,Business travel,Business,1520,2,2,2,2,4,3,4,5,5,5,5,0,5,3,146,116,2/5/1952
6033,112939,Female,Loyal Customer,37,Personal Travel,Eco,715,3,3,5,4,3,3,2,2,2,2,1,3,4,4,152,61,2/6/1952
6034,26271,Male,Loyal Customer,55,Business travel,Eco,859,2,5,5,5,1,2,1,1,3,5,4,2,3,2,12,0,2/7/1952
6035,46410,Male,Loyal Customer,-1,Business travel,Business,458,0,1,2,2,2,2,5,5,5,5,5,3,5,2,91,88,2/8/1952
6036,98532,Female,Loyal Customer,64,Personal Travel,Eco,668,4,4,3,0,2,1,4,3,5,3,5,4,4,0,38,1,2/9/1952
6037,123162,Female,Loyal Customer,31,Business travel,Business,1603,3,2,5,3,5,5,5,5,4,4,5,4,5,5,103,78,2/10/1952
6038,49987,Male,disloyal Customer,-1,Business travel,Eco,250,4,0,4,3,3,3,3,2,4,2,5,3,2,4,187,235,2/11/1952
6039,13457,Female,Loyal Customer,-1,Personal Travel,Eco,475,4,2,4,5,5,2,2,1,1,3,1,3,0,2,116,7,2/12/1952
6040,62772,Male,Loyal Customer,32,Business travel,Business,2556,0,5,4,5,1,1,2,1,2,1,1,0,3,2,98,93,2/13/1952
6041,8487,Male,Loyal Customer,50,Business travel,Business,2370,1,3,5,1,1,5,5,4,3,2,4,3,3,5,97,4,2/14/1952
6042,20428,Female,Loyal Customer,-1,Personal Travel,Eco,196,4,5,4,5,1,3,0,3,4,2,3,3,2,5,38,12,2/15/1952
6043,17069,Male,Loyal Customer,28,Business travel,Eco,282,5,2,5,0,5,5,5,5,4,5,2,5,3,5,0,30,2/16/1952
6044,106901,Female,Loyal Customer,61,Personal Travel,Eco,704,1,3,2,5,3,3,5,5,5,0,5,5,5,1,63,2,2/17/1952
6045,29982,Male,Loyal Customer,39,Business travel,Business,213,3,4,2,2,2,1,3,5,5,5,4,5,5,3,3,72,2/18/1952
6046,36849,Female,Loyal Customer,44,Business travel,Eco Plus,369,2,2,2,3,2,3,3,2,4,3,3,5,4,2,59,6,2/19/1952
6047,51902,Male,Loyal Customer,-1,Business travel,Business,2334,1,2,2,2,5,4,5,5,3,1,2,2,3,5,-2,0,2/20/1952
6048,33488,Female,Loyal Customer,-1,Business travel,Business,1930,2,3,2,3,2,3,4,2,2,2,1,3,2,0,0,0,2/21/1952
6049,45088,Female,Loyal Customer,52,Business travel,Eco,299,3,2,2,3,2,2,1,3,5,3,5,1,5,3,6,11,2/22/1952
6050,102574,Female,Loyal Customer,48,Business travel,Business,223,3,4,5,5,5,5,5,5,5,5,5,5,5,5,91,0,2/23/1952
6051,19203,Female,Loyal Customer,-1,Personal Travel,Eco,542,4,1,3,3,4,3,3,5,2,0,0,3,3,3,0,10,2/24/1952
6052,113435,Female,disloyal Customer,26,Business travel,Business,223,5,0,4,0,5,4,3,5,3,5,3,3,3,5,100,11,2/25/1952
6053,123586,Female,Loyal Customer,-1,Personal Travel,Eco,1773,3,5,3,0,3,4,3,1,1,2,3,1,1,3,0,27,2/26/1952
6054,8019,Female,disloyal Customer,-1,Business travel,Eco,335,5,2,5,3,2,4,0,1,5,4,5,5,3,2,38,2,2/27/1952
6055,101848,Female,Loyal Customer,31,Business travel,Business,519,5,5,4,5,4,4,4,2,2,5,5,5,5,2,2,0,2/28/1952
6056,126127,Male,Loyal Customer,-1,Business travel,Business,600,2,0,2,1,4,5,5,5,5,5,5,4,5,2,38,-8,2/29/1952
6057,51134,Female,Loyal Customer,12,Personal Travel,Eco,1,2,3,0,1,0,0,0,0,5,0,1,2,3,1,145,48,3/1/1952
6058,97431,Female,Loyal Customer,56,Business travel,Business,3771,4,3,4,4,4,5,4,5,5,4,3,5,4,5,107,0,3/2/1952
6059,49363,Female,Loyal Customer,40,Business travel,Eco,156,3,5,5,5,4,5,5,5,0,2,5,1,5,5,0,31,3/3/1952
6060,30568,Female,Loyal Customer,42,Business travel,Business,628,1,2,1,2,0,3,2,4,5,5,5,3,3,2,123,107,3/4/1952
6061,3201,Male,Loyal Customer,16,Personal Travel,Eco,585,3,5,2,2,5,2,4,5,4,2,5,3,4,5,0,90,3/5/1952
6062,28058,Female,Loyal Customer,46,Business travel,Business,2607,0,1,0,1,3,2,3,3,0,2,4,1,4,2,37,0,3/6/1952
6063,69370,Male,Loyal Customer,-1,Business travel,Business,100000,3,1,3,2,5,4,5,4,3,4,3,5,5,5,-2,77,3/7/1952
6064,75332,Female,disloyal Customer,29,Business travel,Eco,1071,3,1,3,3,1,5,5,1,2,3,4,5,2,5,0,-2,3/8/1952
6065,116884,Female,Loyal Customer,-1,Business travel,Business,3595,2,1,2,2,3,5,5,5,3,4,4,4,5,5,68,-6,3/9/1952
6066,70606,Male,Loyal Customer,-1,Personal Travel,Eco,2611,5,5,5,3,4,4,3,5,3,1,3,3,2,3,17,64,3/10/1952
6067,120862,Female,disloyal Customer,50,Business travel,Business,992,3,3,2,1,3,4,1,2,5,5,4,3,3,3,48,8,3/11/1952
6068,39545,Male,disloyal Customer,20,Business travel,Eco,945,4,3,4,2,4,2,1,5,0,5,1,3,3,2,222,121,3/12/1952
6069,96892,Female,Loyal Customer,-1,Personal Travel,Eco,957,2,3,0,3,5,5,5,2,3,1,4,5,2,5,69,126,3/13/1952
6070,65257,Female,Loyal Customer,-1,Business travel,Eco Plus,354,4,3,2,3,2,3,3,3,1,1,3,1,4,4,7,100,3/14/1952
6071,22714,Female,Loyal Customer,65,Personal Travel,Eco Plus,579,2,5,4,3,3,5,5,5,3,3,2,4,4,4,86,83,3/15/1952
6072,126047,Female,Loyal Customer,-1,Business travel,Business,1664,2,2,2,2,5,4,5,3,5,5,5,5,4,2,0,49,3/16/1952
6073,85993,Male,disloyal Customer,-1,Business travel,Eco,528,3,1,2,2,5,2,5,5,5,3,5,2,3,5,10,30,3/17/1952
6074,93585,Male,Loyal Customer,35,Personal Travel,Eco,159,1,5,3,4,2,2,1,1,5,4,5,5,5,1,15,33,3/18/1952
6075,72000,Female,Loyal Customer,57,Personal Travel,Eco,1440,1,5,1,3,4,5,5,2,4,2,4,2,4,5,42,116,3/19/1952
6076,128471,Male,Loyal Customer,31,Personal Travel,Eco,621,2,5,3,0,3,3,3,2,4,1,3,4,5,1,33,91,3/20/1952
6077,40380,Male,Loyal Customer,61,Personal Travel,Eco,1250,1,2,2,2,3,1,3,1,2,1,3,4,4,1,29,0,3/21/1952
6078,53801,Female,Loyal Customer,-1,Business travel,Eco,191,5,0,0,2,0,5,3,5,5,5,5,1,5,4,103,45,3/22/1952
6079,777,Female,Loyal Customer,50,Business travel,Business,3623,0,0,0,5,4,5,5,3,2,4,4,5,4,5,4,100,3/23/1952
6080,36520,Male,Loyal Customer,23,Business travel,Eco,1237,0,5,0,5,4,0,2,2,3,3,0,4,4,3,76,122,3/24/1952
6081,26096,Female,Loyal Customer,13,Personal Travel,Eco,591,2,5,4,4,2,3,1,3,3,1,5,2,0,1,89,64,3/25/1952
6082,43099,Female,Loyal Customer,-1,Personal Travel,Eco,100000,3,5,3,3,2,3,4,3,2,3,3,5,2,3,68,95,3/26/1952
6083,61402,Male,Loyal Customer,-1,Personal Travel,Eco,679,1,4,0,4,1,0,1,1,5,3,5,2,3,0,92,21,3/27/1952
6084,79074,Male,Loyal Customer,45,Business travel,Business,356,0,2,2,4,3,5,3,0,2,1,0,3,0,2,97,25,3/28/1952
6085,110545,Male,Loyal Customer,13,Business travel,Business,1752,2,5,5,5,1,0,0,0,3,5,4,4,5,2,13,77,3/29/1952
6086,90258,Female,Loyal Customer,34,Personal Travel,Business,879,1,5,2,3,5,2,5,0,1,1,0,3,0,5,81,42,3/30/1952
6087,67721,Male,Loyal Customer,29,Business travel,Eco,1235,5,4,3,2,4,4,4,4,0,5,3,2,4,3,56,74,3/31/1952
6088,11817,Female,disloyal Customer,-1,Business travel,Eco,986,1,3,3,2,3,2,3,2,3,5,5,2,5,1,3,35,4/1/1952
6089,111752,Female,Loyal Customer,-1,Business travel,Business,3011,4,3,4,5,5,5,5,5,5,5,5,3,5,3,79,15,4/2/1952
6090,57195,Female,Loyal Customer,-1,Business travel,Business,1514,2,2,5,4,5,3,5,4,4,4,4,5,3,4,0,79,4/3/1952
6091,125030,Female,Loyal Customer,-1,Personal Travel,Eco Plus,184,3,3,0,3,3,0,5,4,4,3,5,3,5,4,6,45,4/4/1952
6092,30549,Female,disloyal Customer,50,Business travel,Eco,1028,4,4,3,3,2,4,0,0,1,5,2,3,1,0,78,73,4/5/1952
6093,10444,Female,Loyal Customer,52,Business travel,Business,396,5,5,5,5,5,5,5,2,5,4,5,5,2,5,67,139,4/6/1952
6094,90189,Female,Loyal Customer,-1,Personal Travel,Eco,983,3,4,5,2,1,4,3,5,5,3,5,3,5,0,73,42,4/7/1952
6095,497,Female,Loyal Customer,-1,Business travel,Business,164,0,2,1,2,1,5,5,3,5,5,5,5,3,4,106,0,4/8/1952
6096,53243,Male,Loyal Customer,16,Business travel,Eco Plus,589,3,1,1,1,5,3,5,5,1,4,0,0,3,4,13,14,4/9/1952
6097,119177,Male,Loyal Customer,-1,Business travel,Business,3048,3,2,2,3,5,4,3,5,5,5,5,5,5,2,120,37,4/10/1952
6098,113844,Male,Loyal Customer,61,Business travel,Eco,1363,2,4,2,2,0,2,0,0,1,1,2,1,2,2,39,29,4/11/1952
6099,119209,Female,disloyal Customer,-1,Business travel,Eco,257,0,3,1,3,2,1,4,2,1,2,3,2,4,4,-8,1,4/12/1952
6100,84750,Female,disloyal Customer,34,Business travel,Business,481,2,2,0,2,2,1,3,3,2,4,5,5,5,1,75,74,4/13/1952
6101,68986,Female,Loyal Customer,-1,Personal Travel,Eco,2239,0,5,0,1,5,5,5,5,2,5,3,5,5,5,50,3,4/14/1952
6102,49659,Female,disloyal Customer,-1,Business travel,Business,250,5,0,5,3,2,5,1,1,1,5,3,3,5,3,58,43,4/15/1952
6103,40221,Male,Loyal Customer,60,Business travel,Eco,387,2,5,5,5,3,1,1,2,4,5,2,3,4,3,60,10,4/16/1952
6104,22193,Male,Loyal Customer,36,Business travel,Business,3608,3,3,3,4,0,2,4,5,3,5,4,4,4,2,3,0,4/17/1952
6105,66990,Male,Loyal Customer,47,Business travel,Business,1119,1,0,1,1,5,5,5,4,4,3,4,5,4,5,0,24,4/18/1952
6106,1846,Male,Loyal Customer,13,Personal Travel,Eco,408,5,5,5,3,5,5,5,5,5,5,5,5,5,5,41,30,4/19/1952
6107,26586,Female,Loyal Customer,28,Business travel,Business,2452,1,1,2,2,3,5,4,4,3,5,1,3,3,4,53,22,4/20/1952
6108,27333,Male,Loyal Customer,-1,Business travel,Business,1755,1,0,1,1,4,3,5,3,4,5,2,5,0,4,26,92,4/21/1952
6109,81744,Female,Loyal Customer,-1,Business travel,Business,3074,2,5,5,5,0,2,1,2,3,3,4,2,2,2,-1,5,4/22/1952
6110,33503,Male,Loyal Customer,-1,Business travel,Eco,965,4,1,3,2,4,4,4,3,2,3,4,1,3,2,94,0,4/23/1952
6111,33989,Male,Loyal Customer,-1,Business travel,Eco,1576,0,4,4,4,1,2,0,1,3,4,5,2,3,2,75,70,4/24/1952
6112,6415,Female,Loyal Customer,-1,Personal Travel,Eco,315,0,5,1,5,1,0,0,2,3,4,4,3,3,1,67,0,4/25/1952
6113,116290,Male,Loyal Customer,-1,Personal Travel,Eco,333,1,4,3,3,2,1,0,1,5,3,3,0,4,2,81,94,4/26/1952
6114,43145,Female,Loyal Customer,10,Personal Travel,Eco Plus,173,1,5,1,4,0,1,0,2,1,5,3,1,4,1,68,0,4/27/1952
6115,63412,Male,Loyal Customer,-1,Personal Travel,Eco,337,2,5,2,3,3,3,2,2,1,5,1,1,3,4,62,-2,4/28/1952
6116,106920,Male,Loyal Customer,39,Business travel,Business,2516,2,3,2,3,1,0,3,5,5,3,5,2,5,2,82,75,4/29/1952
6117,37836,Female,Loyal Customer,50,Business travel,Eco,1065,1,3,2,4,3,5,3,3,1,1,1,1,1,5,121,24,4/30/1952
6118,7279,Female,Loyal Customer,40,Personal Travel,Eco,139,2,0,0,2,0,2,2,3,3,5,5,1,5,2,115,199,5/1/1952
6119,9973,Male,Loyal Customer,-1,Personal Travel,Eco,508,1,0,5,4,5,4,5,5,3,4,3,4,4,5,68,-4,5/2/1952
6120,29465,Female,Loyal Customer,39,Personal Travel,Eco,2345,4,4,4,5,4,3,3,5,1,5,5,3,5,3,44,24,5/3/1952
6121,77456,Male,disloyal Customer,24,Business travel,Business,507,5,0,5,4,4,5,3,4,4,1,4,3,5,4,16,11,5/4/1952
6122,42607,Female,Loyal Customer,-1,Business travel,Business,2500,2,1,1,3,3,5,3,0,0,2,1,2,2,2,0,0,5/5/1952
6123,78316,Female,Loyal Customer,29,Business travel,Business,1930,5,5,5,5,5,5,5,5,4,5,5,5,5,5,-1,69,5/6/1952
6124,36718,Female,Loyal Customer,24,Business travel,Eco Plus,1249,4,2,2,2,2,3,1,3,1,3,2,1,2,2,85,89,5/7/1952
6125,74539,Male,Loyal Customer,-1,Business travel,Business,1926,3,3,2,3,2,1,3,3,3,3,2,1,1,3,42,11,5/8/1952
6126,84880,Female,Loyal Customer,-1,Personal Travel,Eco,547,3,4,1,3,4,3,4,4,5,4,4,5,3,3,0,82,5/9/1952
6127,31503,Male,Loyal Customer,55,Business travel,Eco,846,3,4,3,4,3,2,1,2,5,2,2,3,2,3,16,79,5/10/1952
6128,84648,Female,Loyal Customer,48,Business travel,Business,2657,3,3,3,3,3,5,5,5,5,5,5,5,5,4,0,89,5/11/1952
6129,105682,Female,Loyal Customer,46,Business travel,Business,787,2,0,2,1,3,4,5,3,3,4,3,4,4,3,198,118,5/12/1952
6130,44792,Female,Loyal Customer,-1,Personal Travel,Eco,1250,4,1,2,1,5,3,2,5,5,4,4,2,5,3,4,74,5/13/1952
6131,72583,Female,disloyal Customer,22,Business travel,Eco,585,5,0,5,3,2,5,0,1,1,3,5,4,5,2,0,0,5/14/1952
6132,65997,Female,disloyal Customer,43,Business travel,Business,1055,3,5,5,1,2,5,2,4,5,5,5,2,5,2,54,97,5/15/1952
6133,116984,Male,Loyal Customer,-1,Business travel,Business,2483,1,1,2,1,4,5,5,5,5,5,5,2,5,5,30,23,5/16/1952
6134,27552,Male,Loyal Customer,21,Personal Travel,Eco,987,3,5,3,3,2,2,2,2,5,5,4,3,3,2,98,40,5/17/1952
6135,48498,Female,Loyal Customer,41,Business travel,Business,3819,2,4,3,3,5,2,1,5,5,5,5,0,5,3,0,-1,5/18/1952
6136,40939,Female,disloyal Customer,27,Business travel,Eco Plus,188,4,3,3,2,0,2,1,0,4,1,5,1,3,0,14,27,5/19/1952
6137,63108,Male,Loyal Customer,-1,Personal Travel,Eco Plus,948,1,2,0,3,2,2,4,2,1,2,5,4,3,4,46,46,5/20/1952
6138,55664,Male,Loyal Customer,26,Business travel,Business,2607,2,0,2,2,5,5,5,5,2,5,5,3,4,5,82,74,5/21/1952
6139,109593,Female,disloyal Customer,28,Business travel,Eco Plus,994,4,2,4,4,5,4,5,5,4,4,4,1,2,5,18,77,5/22/1952
6140,85168,Female,Loyal Customer,31,Business travel,Business,3702,1,0,0,0,1,3,3,3,2,4,0,4,1,3,85,14,5/23/1952
6141,54378,Male,Loyal Customer,54,Business travel,Eco,305,3,4,4,2,4,5,3,5,2,5,0,0,2,4,107,34,5/24/1952
6142,35195,Male,Loyal Customer,-1,Business travel,Business,3602,3,5,4,4,4,5,5,3,0,2,0,2,5,3,84,44,5/25/1952
6143,66429,Male,Loyal Customer,28,Business travel,Business,100000,4,4,2,3,5,5,5,5,5,4,5,3,5,5,-7,87,5/26/1952
6144,25525,Female,Loyal Customer,39,Personal Travel,Eco,516,3,5,5,0,5,3,5,5,4,2,3,5,5,5,66,87,5/27/1952
6145,57071,Male,Loyal Customer,-1,Business travel,Business,2065,2,4,4,4,5,4,5,3,5,3,3,2,5,2,62,98,5/28/1952
6146,111106,Male,Loyal Customer,56,Business travel,Eco Plus,197,1,3,1,1,0,2,2,0,4,5,5,3,3,2,50,41,5/29/1952
6147,8455,Female,disloyal Customer,39,Business travel,Business,1379,1,1,3,5,1,3,0,2,4,5,5,5,4,2,89,87,5/30/1952
6148,112716,Female,Loyal Customer,-1,Personal Travel,Eco,671,4,2,3,3,1,3,0,0,5,3,1,1,3,2,46,48,5/31/1952
6149,18452,Female,disloyal Customer,23,Business travel,Eco,305,3,0,5,2,5,3,5,5,5,1,4,1,0,5,0,67,6/1/1952
6150,16137,Female,disloyal Customer,10,Business travel,Eco,725,2,1,3,1,1,1,2,3,2,4,3,4,2,1,0,17,6/2/1952
6151,95953,Male,disloyal Customer,-1,Business travel,Business,775,1,3,1,3,1,1,0,2,4,4,5,4,3,0,24,91,6/3/1952
6152,36996,Male,Loyal Customer,-1,Business travel,Eco,267,3,2,2,0,4,4,3,3,2,0,2,4,4,5,157,194,6/4/1952
6153,8147,Female,Loyal Customer,-1,Business travel,Eco,530,2,4,2,4,0,2,4,1,0,3,4,0,5,2,61,66,6/5/1952
6154,102844,Female,Loyal Customer,50,Business travel,Eco,423,2,4,3,5,5,3,5,1,0,1,0,3,2,3,73,29,6/6/1952
6155,73829,Male,Loyal Customer,45,Personal Travel,Eco,1194,3,5,4,2,5,5,5,5,3,5,3,5,3,5,98,17,6/7/1952
6156,101589,Female,Loyal Customer,-1,Business travel,Eco Plus,699,1,1,2,2,4,3,2,2,0,1,0,1,0,2,8,104,6/8/1952
6157,13144,Female,Loyal Customer,23,Personal Travel,Eco,595,3,4,3,1,2,2,1,0,1,2,2,4,0,0,87,71,6/9/1952
6158,25609,Female,disloyal Customer,44,Business travel,Eco,666,1,0,3,3,4,2,3,3,2,2,2,2,2,2,113,64,6/10/1952
